"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","source"
2007,0.294494915,0.492992588,0.637473975,0.809543218,0.92833197,1.059545109,1.001947951,1.314501703,1.308706011,1.268206704,1.416606464,1.367229721,1.385353482,"survey"
2008,0.21983689,0.491126403,0.600913822,0.730420948,0.857303754,0.94602091,0.987454569,1.15356588,1.639521562,1.372384707,1.708225154,1.539505306,1.681942631,"survey"
2009,0.241368926,0.508742323,0.688201023,0.814733834,1.009671828,1.067612671,1.120889469,1.358998635,1.449253661,1.768964691,1.76667965,2.049175751,2.485980073,"survey"
2010,0.244198637,0.495735772,0.657447947,0.804058249,1.09667581,1.139771999,1.259796869,1.37646921,1.190452766,1.389302068,1.62876289,2.160626434,2.221208067,"survey"
2011,0.216207593,0.510739332,0.653306399,0.785462717,0.906992798,1.06617128,1.158907827,1.245591751,1.358049866,1.419215829,1.364557266,1.496288037,2.015882598,"survey"
2012,0.284869936,0.409726058,0.591670222,0.738270068,0.865179156,1.00838303,1.353602245,1.203433122,1.340426967,1.424364903,1.499627232,1.710909761,1.980927223,"survey"
2013,0.22758485,0.516289407,0.577090293,0.720653888,0.973431704,1.172608503,1.265149426,1.460853394,1.513264588,1.40364226,1.717071731,1.821965585,1.965128131,"survey"
2014,0.392705715,0.44526364,0.567320521,0.693242669,0.736620622,0.977807115,1.135733768,1.335616095,1.53386216,1.483801887,1.637674054,1.638323983,2.012399264,"survey"
2015,0.346922816,0.4421835,0.566480773,0.675397396,0.741834701,0.864183709,1.063738008,1.270077838,1.545193956,1.454989784,1.44556212,1.481606303,1.595835914,"survey"
2016,0.278174174,0.523996043,0.573843599,0.687664217,0.764497127,0.794738061,0.883473063,0.918824446,1.193459596,1.846486896,1.243564121,1.228360325,1.39272851,"survey"
2017,0.241680719,0.488023818,0.621450126,0.649307802,0.739666235,0.782472709,0.888836025,0.922830766,0.997859221,1.012585791,1.323337132,1.02,1.813203635,"survey"
2018,0.209517374,0.441549187,0.575455487,0.664682712,0.756219352,0.750222132,0.845314093,0.885737992,0.722257172,0.838246168,0.876,1.073925018,0.963644922,"survey"
2019,0.292266668,0.505461886,0.641915113,0.714738814,0.82308407,0.898603535,0.901039701,0.989176181,0.985561591,1.042874285,1.067753096,1.12,1.389859023,"survey"
2021,0.277940528,0.439964085,0.589726342,0.695618089,0.774388064,0.854262862,0.959977259,1.233140976,1.02254542,1.349963758,1.306771594,0.927339745,1.388902527,"survey"
2022,0.347386212,0.452085896,0.582679606,0.668195509,0.763919301,0.852686029,0.944894156,0.97167025,1.12161811,1.473753268,1.241662666,0.895335968,1.247468824,"survey"
