"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","source"
2003,0.136,0.117,0.151,0.186,0.243,0.296,0.432,0.36,0.453,0.561,0.72,0.658,0.888,"survey"
2004,0.107,0.161,0.156,0.184,0.238,0.293,0.388,0.434,0.424,0.567,0.631,0.643,0.565,"survey"
2005,0.0833,0.142,0.182,0.209,0.231,0.298,0.287,0.42,0.571,0.471,0.417,0.459,0.436,"survey"
2006,0.0686,0.119,0.141,0.171,0.21,0.217,0.414,0.379,0.432,0.401,0.45,0.496,0.539,"survey"
2007,0.131,0.119,0.132,0.182,0.233,0.285,0.345,0.541,0.498,0.499,0.544,0.601,0.558,"survey"
2008,0.113,0.0828,0.134,0.184,0.219,0.268,0.44,0.413,0.586,0.497,0.561,0.531,0.551,"survey"
2009,0.102,0.138,0.179,0.162,0.261,0.311,0.416,0.399,0.395,0.59,0.749,0.457,0.779,"survey"
2010,0.0878,0.1,0.148,0.275,0.276,0.352,0.301,0.41,0.543,0.478,0.534,0.785,0.606,"survey"
2011,0.122,0.171,0.168,0.24,0.209,0.294,0.354,0.36,0.465,0.552,0.427,0.584,0.686,"survey"
2012,0.0923,0.0959,0.172,0.187,0.301,0.4,0.353,0.39,0.4,0.466,0.533,0.452,0.564,"survey"
2013,0.0774,0.117,0.152,0.224,0.298,0.32,0.413,0.36,0.418,0.453,0.475,0.546,0.578,"survey"
2014,0.118,0.17,0.167,0.165,0.236,0.415,0.423,0.489,0.43,0.48,0.379,0.493,0.488,"survey"
2015,0.0954,0.0719,0.112,0.215,0.186,0.224,0.327,0.31,0.39,0.491,0.403,0.337,0.523,"survey"
2016,0.102,0.0832,0.107,0.112,0.16,0.173,0.2,0.283,0.411,0.69,0.339,0.274,0.172,"survey"
2017,0.117,0.1,0.13,0.141,0.171,0.196,0.207,0.308,0.205,0.438,0.23,0.4,0.0566,"survey"
2018,0.111,0.135,0.116,0.151,0.177,0.178,0.281,0.269,0.328,0.285,0.4,0.4,0.8,"survey"
2019,0.0655,0.163,0.134,0.148,0.185,0.236,0.229,0.283,0.173,0.187,0.268,0.4,0.8,"survey"
2021,0.116,0.139,0.147,0.166,0.188,0.19,0.26,0.3,0.306,0.351,0.118,0.208,0.8,"survey"
2022,0.124,0.143,0.149,0.185,0.173,0.233,0.271,0.292,0.408,0.293,0.4,0.276,0.8,"survey"
